# Black Desert Online — Upgrade Silver Costs
# Reconciled: 2026-09-10
# Pipe-delimited UTF-8.
#
# THIS FILE HAS TWO DIFFERENT COST CONCEPTS:
# expected_one_level_cost_silver = RNG-aware mathematical enhancement estimate from BDO Workshop where available.
# market_upgrade_anchor_silver   = market/direct-purchase reference when an expected enhance cost is not safe to assert.
#
# cron_vendor_cost_per_attempt_silver is deterministic:
# Cron Stones are valued at 3,000,000 silver each when bought from the vendor.
#
# IMPORTANT FOR DATABASE SCORING:
# - Use expected_one_level_cost_silver when cost_confidence begins MODEL_ESTIMATE.
# - Treat it as a snapshot, not a timeless fact. Market inputs and failstack strategy change.
# - For NONMARKET_GATE rows, keep cost unscored rather than coercing blank to zero.
# - Apeiron market_upgrade_anchor_silver is the difference between official starting market-price tiers,
#   not a live expected enhancement cost.
#
# SOURCES:
# BDOWORKSHOP_SOV_2026        = https://bdoworkshop.com/
# BDOWORKSHOP_SLUMBERING_2026 = https://bdoworkshop.com/enhancement/3
# BDOWORKSHOP_EDANA_2026       = https://bdoworkshop.com/enhancement/10
# BDOWORKSHOP_KHARAZAD_2026    = https://www.bdoworkshop.com/enhancement/2
# BDOWORKSHOP_EKLETA_2026      = https://bdoworkshop.com/enhancement/17
# GARMOTH_APEIRON_2026         = https://garmoth.com/guides/post/ekleta-apeiron-accessories
# GARMOTH_EU_KABUA_2026        = https://garmoth.com/market/item/742269
# BDF_HERALDING_2026           = https://www.blackdesertfoundry.com/artifacts-and-lightstones-guide/
#
category|item_group|from_level|to_level|cron_stones_per_attempt|cron_vendor_cost_per_attempt_silver|expected_one_level_cost_silver|cost_model|market_upgrade_anchor_silver|cost_confidence|source_id|snapshot_notes
weapon|Sovereign Weapons|+0|PRI (I)|0|0|157297802|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_SOV_2026|Mainhand model; Cron schedule applies to Sovereign main/awakening/sub. Uses vendor Crons and current calculator input prices.
weapon|Sovereign Weapons|PRI (I)|DUO (II)|320|960000000|656283079|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_SOV_2026|Mainhand model; Cron schedule applies to Sovereign main/awakening/sub. Uses vendor Crons and current calculator input prices.
weapon|Sovereign Weapons|DUO (II)|TRI (III)|560|1680000000|3445858854|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_SOV_2026|Mainhand model; Cron schedule applies to Sovereign main/awakening/sub. Uses vendor Crons and current calculator input prices.
weapon|Sovereign Weapons|TRI (III)|TET (IV)|780|2340000000|17617827899|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_SOV_2026|Mainhand model; Cron schedule applies to Sovereign main/awakening/sub. Uses vendor Crons and current calculator input prices.
weapon|Sovereign Weapons|TET (IV)|PEN (V)|970|2910000000|33602984986|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_SOV_2026|Mainhand model; Cron schedule applies to Sovereign main/awakening/sub. Uses vendor Crons and current calculator input prices.
weapon|Sovereign Weapons|PEN (V)|HEX (VI)|1350|4050000000|63076533248|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_SOV_2026|Mainhand model; Cron schedule applies to Sovereign main/awakening/sub. Uses vendor Crons and current calculator input prices.
weapon|Sovereign Weapons|HEX (VI)|SEP (VII)|1550|4650000000|104208396990|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_SOV_2026|Mainhand model; Cron schedule applies to Sovereign main/awakening/sub. Uses vendor Crons and current calculator input prices.
weapon|Sovereign Weapons|SEP (VII)|OCT (VIII)|2250|6750000000|197462890585|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_SOV_2026|Mainhand model; Cron schedule applies to Sovereign main/awakening/sub. Uses vendor Crons and current calculator input prices.
weapon|Sovereign Weapons|OCT (VIII)|NOV (IX)|2760|8280000000|475872629735|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_SOV_2026|Mainhand model; Cron schedule applies to Sovereign main/awakening/sub. Uses vendor Crons and current calculator input prices.
weapon|Sovereign Weapons|NOV (IX)|DEC (X)|3920|11760000000|1165178175879|BDO Workshop mathematical expected one-level enhancement cost||MODEL_ESTIMATE_CURRENT|BDOWORKSHOP_SOV_2026|Mainhand model; Cron schedule applies to Sovereign main/awakening/sub. Uses vendor Crons and current calculator input prices.
